month,ticker,comnam,avg_daily_volume_millions,trading_days
2008-11-01,JAVA,SUN MICROSYSTEMS INC,12.070542,19
2008-12-01,JAVA,SUN MICROSYSTEMS INC,7.900212590909091,22
2009-01-01,JAVA,SUN MICROSYSTEMS INC,11.248657699999999,20
2009-02-01,JAVA,SUN MICROSYSTEMS INC,15.018501105263157,19
2009-03-01,JAVA,SUN MICROSYSTEMS INC,26.402860636363638,22
2009-04-01,JAVA,SUN MICROSYSTEMS INC,75.35664057142857,21
2009-05-01,JAVA,SUN MICROSYSTEMS INC,18.4784211,20
2009-06-01,JAVA,SUN MICROSYSTEMS INC,13.549430545454545,22
2009-07-01,JAVA,SUN MICROSYSTEMS INC,12.527945545454545,22
2009-08-01,JAVA,SUN MICROSYSTEMS INC,12.141360666666666,21
2009-09-01,JAVA,SUN MICROSYSTEMS INC,20.175399095238095,21
2009-10-01,JAVA,SUN MICROSYSTEMS INC,15.638107045454547,22
2009-11-01,JAVA,SUN MICROSYSTEMS INC,9.446484,20
2009-12-01,JAVA,SUN MICROSYSTEMS INC,20.03326240909091,22
2010-01-01,JAVA,SUN MICROSYSTEMS INC,7.6294285,16
2003-01-01,JPM,JPMORGAN CHASE & CO,11.58434761904762,21
2003-02-01,JPM,JPMORGAN CHASE & CO,8.853557894736843,19
2003-03-01,JPM,JPMORGAN CHASE & CO,10.67625238095238,21
2003-04-01,JPM,JPMORGAN CHASE & CO,11.499514285714286,21
2003-05-01,JPM,JPMORGAN CHASE & CO,9.74057619047619,21
2003-06-01,JPM,JPMORGAN CHASE & CO,10.147990476190476,21
2003-07-01,JPM,JPMORGAN CHASE & CO,9.02315,22
2003-08-01,JPM,JPMORGAN CHASE & CO,8.757580952380952,21
2003-09-01,JPM,JPMORGAN CHASE & CO,8.268804761904763,21
2003-10-01,JPM,JPMORGAN CHASE & CO,8.781804347826087,23
2003-11-01,JPM,JPMORGAN CHASE & CO,6.303659,19
2003-12-01,JPM,JPMORGAN CHASE & CO,6.634059090909091,22
2004-01-01,JPM,JPMORGAN CHASE & CO,14.629355,20
2004-02-01,JPM,JPMORGAN CHASE & CO,8.525705263157896,19
2004-03-01,JPM,JPMORGAN CHASE & CO,9.285652173913043,23
2004-04-01,JPM,JPMORGAN CHASE & CO,9.788966666666667,21
2004-05-01,JPM,JPMORGAN CHASE & CO,10.038965000000001,20
2004-06-01,JPM,JPMORGAN CHASE & CO,8.335271428571428,21
2004-07-01,JPM,JPMORGAN CHASE & CO,10.719561904761905,21
2004-08-01,JPM,JPMORGAN CHASE & CO,8.15595,22
2004-09-01,JPM,JPMORGAN CHASE & CO,8.883785714285715,21
2004-10-01,JPM,JPMORGAN CHASE & CO,10.321471428571428,21
2004-11-01,JPM,JPMORGAN CHASE & CO,10.631961904761905,21
2004-12-01,JPM,JPMORGAN CHASE & CO,9.574977272727272,22
2005-01-01,JPM,JPMORGAN CHASE & CO,11.514075,20
2005-02-01,JPM,JPMORGAN CHASE & CO,10.7108,19
2005-03-01,JPM,JPMORGAN CHASE & CO,12.150581818181818,22
2005-04-01,JPM,JPMORGAN CHASE & CO,13.084738095238095,21
2005-05-01,JPM,JPMORGAN CHASE & CO,9.530171428571428,21
2005-06-01,JPM,JPMORGAN CHASE & CO,9.019350000000001,22
2005-07-01,JPM,JPMORGAN CHASE & CO,9.396765,20
2005-08-01,JPM,JPMORGAN CHASE & CO,8.416321739130435,23
2005-09-01,JPM,JPMORGAN CHASE & CO,10.05997619047619,21
2005-10-01,JPM,JPMORGAN CHASE & CO,12.863428571428571,21
2005-11-01,JPM,JPMORGAN CHASE & CO,11.322452380952381,21
2005-12-01,JPM,JPMORGAN CHASE & CO,9.574880952380951,21
2006-01-01,JPM,JPMORGAN CHASE & CO,13.123919999999998,20
2006-02-01,JPM,JPMORGAN CHASE & CO,9.99857894736842,19
2006-03-01,JPM,JPMORGAN CHASE & CO,11.073130434782609,23
2006-04-01,JPM,JPMORGAN CHASE & CO,10.961436842105263,19
2006-05-01,JPM,JPMORGAN CHASE & CO,11.985572727272727,22
2006-06-01,JPM,JPMORGAN CHASE & CO,12.354895454545455,22
2006-07-01,JPM,JPMORGAN CHASE & CO,11.982675,20
2006-08-01,JPM,JPMORGAN CHASE & CO,8.673152173913042,23
2006-09-01,JPM,JPMORGAN CHASE & CO,9.11003,20
2006-10-01,JPM,JPMORGAN CHASE & CO,11.252404545454546,22
2006-11-01,JPM,JPMORGAN CHASE & CO,8.82582380952381,21
2006-12-01,JPM,JPMORGAN CHASE & CO,10.263105,20
2007-01-01,JPM,JPMORGAN CHASE & CO,12.771429999999999,20
2007-02-01,JPM,JPMORGAN CHASE & CO,11.43271894736842,19
2007-03-01,JPM,JPMORGAN CHASE & CO,16.126137727272727,22
2007-04-01,JPM,JPMORGAN CHASE & CO,15.1263675,20
2007-05-01,JPM,JPMORGAN CHASE & CO,11.054295818181817,22
2007-06-01,JPM,JPMORGAN CHASE & CO,15.432602904761904,21
2007-07-01,JPM,JPMORGAN CHASE & CO,24.642866666666663,21
2007-08-01,JPM,JPMORGAN CHASE & CO,29.132430434782606,23
2007-09-01,JPM,JPMORGAN CHASE & CO,18.270733684210526,19
2007-10-01,JPM,JPMORGAN CHASE & CO,18.58923043478261,23
2007-11-01,JPM,JPMORGAN CHASE & CO,30.105528095238096,21
2007-12-01,JPM,JPMORGAN CHASE & CO,23.1488,20
2008-01-01,JPM,JPMORGAN CHASE & CO,42.605090476190476,21
2008-02-01,JPM,JPMORGAN CHASE & CO,31.520249999999997,20
2008-03-01,JPM,JPMORGAN CHASE & CO,53.844305,20
2008-04-01,JPM,JPMORGAN CHASE & CO,32.2444,22
2008-05-01,JPM,JPMORGAN CHASE & CO,26.840433333333333,21
2008-06-01,JPM,JPMORGAN CHASE & CO,44.74263333333333,21
2008-07-01,JPM,JPMORGAN CHASE & CO,57.65004999999999,22
2008-08-01,JPM,JPMORGAN CHASE & CO,35.738371428571426,21
2008-09-01,JPM,JPMORGAN CHASE & CO,66.0481,21
2008-10-01,JPM,JPMORGAN CHASE & CO,69.05009565217391,23
2008-11-01,JPM,JPMORGAN CHASE & CO,75.61468947368421,19
2008-12-01,JPM,JPMORGAN CHASE & CO,52.5231590909091,22
2009-01-01,JPM,JPMORGAN CHASE & CO,78.59222,20
2009-02-01,JPM,JPMORGAN CHASE & CO,90.2826,19
2009-03-01,JPM,JPMORGAN CHASE & CO,127.57975,22
2009-04-01,JPM,JPMORGAN CHASE & CO,100.6339380952381,21
2009-05-01,JPM,JPMORGAN CHASE & CO,77.08434,20
2009-06-01,JPM,JPMORGAN CHASE & CO,64.50017727272727,22
2009-07-01,JPM,JPMORGAN CHASE & CO,49.24902727272727,22
2009-08-01,JPM,JPMORGAN CHASE & CO,40.550714285714285,21
2009-09-01,JPM,JPMORGAN CHASE & CO,33.82511904761905,21
2009-10-01,JPM,JPMORGAN CHASE & CO,38.95908636363637,22
2009-11-01,JPM,JPMORGAN CHASE & CO,32.236055,20
2009-12-01,JPM,JPMORGAN CHASE & CO,34.360122727272724,22
2010-01-01,JPM,JPMORGAN CHASE & CO,54.168905263157896,19
2010-02-01,JPM,JPMORGAN CHASE & CO,46.12428421052632,19
2010-03-01,JPM,JPMORGAN CHASE & CO,32.86150869565218,23
2010-04-01,JPM,JPMORGAN CHASE & CO,45.13158571428571,21
2010-05-01,JPM,JPMORGAN CHASE & CO,56.874154999999995,20
2010-06-01,JPM,JPMORGAN CHASE & CO,44.35043636363636,22
2010-07-01,JPM,JPMORGAN CHASE & CO,39.64206666666667,21
2010-08-01,JPM,JPMORGAN CHASE & CO,32.885495454545456,22
2010-09-01,JPM,JPMORGAN CHASE & CO,34.152614285714286,21
2010-10-01,JPM,JPMORGAN CHASE & CO,45.207823809523816,21
2010-11-01,JPM,JPMORGAN CHASE & CO,36.21416666666667,21
2010-12-01,JPM,JPMORGAN CHASE & CO,30.273954545454547,22
2011-01-01,JPM,JPMORGAN CHASE & CO,41.37866,20
2011-02-01,JPM,JPMORGAN CHASE & CO,31.453126315789476,19
2011-03-01,JPM,JPMORGAN CHASE & CO,29.786473913043476,23
2011-04-01,JPM,JPMORGAN CHASE & CO,28.916334999999997,20
2011-05-01,JPM,JPMORGAN CHASE & CO,27.936490476190475,21
2011-06-01,JPM,JPMORGAN CHASE & CO,36.69730454545454,22
2011-07-01,JPM,JPMORGAN CHASE & CO,33.337835,20
2011-08-01,JPM,JPMORGAN CHASE & CO,51.75677391304348,23
2011-09-01,JPM,JPMORGAN CHASE & CO,49.14788571428572,21
2011-10-01,JPM,JPMORGAN CHASE & CO,50.712857142857146,21
2011-11-01,JPM,JPMORGAN CHASE & CO,39.83456666666667,21
2011-12-01,JPM,JPMORGAN CHASE & CO,38.960966666666664,21
2012-01-01,JPM,JPMORGAN CHASE & CO,36.112015,20
2012-02-01,JPM,JPMORGAN CHASE & CO,28.2697,20
2012-03-01,JPM,JPMORGAN CHASE & CO,37.30619090909091,22
2012-04-01,JPM,JPMORGAN CHASE & CO,30.774975,20
2012-05-01,JPM,JPMORGAN CHASE & CO,58.83396818181818,22
2012-06-01,JPM,JPMORGAN CHASE & CO,49.23775238095238,21
2012-07-01,JPM,JPMORGAN CHASE & CO,38.808947619047615,21
2012-08-01,JPM,JPMORGAN CHASE & CO,20.35636086956522,23
2012-09-01,JPM,JPMORGAN CHASE & CO,25.571621052631578,19
2012-10-01,JPM,JPMORGAN CHASE & CO,24.66851904761905,21
2012-11-01,JPM,JPMORGAN CHASE & CO,22.268619047619048,21
2012-12-01,JPM,JPMORGAN CHASE & CO,23.058815,20
2013-01-01,JPM,JPMORGAN CHASE & CO,24.891819047619048,21
2013-02-01,JPM,JPMORGAN CHASE & CO,23.709089473684212,19
2013-03-01,JPM,JPMORGAN CHASE & CO,24.973000000000003,20
2013-04-01,JPM,JPMORGAN CHASE & CO,22.24986363636364,22
2013-05-01,JPM,JPMORGAN CHASE & CO,24.996322727272727,22
2013-06-01,JPM,JPMORGAN CHASE & CO,22.014375,20
2013-07-01,JPM,JPMORGAN CHASE & CO,18.85013181818182,22
2013-08-01,JPM,JPMORGAN CHASE & CO,15.631727272727273,22
2013-09-01,JPM,JPMORGAN CHASE & CO,21.750775,20
2013-10-01,JPM,JPMORGAN CHASE & CO,20.969247826086956,23
2013-11-01,JPM,JPMORGAN CHASE & CO,18.297005000000002,20
2013-12-01,JPM,JPMORGAN CHASE & CO,15.724838095238097,21
2014-01-01,JPM,JPMORGAN CHASE & CO,20.292766666666665,21
2014-02-01,JPM,JPMORGAN CHASE & CO,18.280115789473683,19
2014-03-01,JPM,JPMORGAN CHASE & CO,20.283540714285714,21
2014-04-01,JPM,JPMORGAN CHASE & CO,19.47730776190476,21
2014-05-01,JPM,JPMORGAN CHASE & CO,15.005339476190475,21
2014-06-01,JPM,JPMORGAN CHASE & CO,12.557899857142857,21
2014-07-01,JPM,JPMORGAN CHASE & CO,14.424809499999999,22
2014-08-01,JPM,JPMORGAN CHASE & CO,11.503019857142856,21
2014-09-01,JPM,JPMORGAN CHASE & CO,12.61659842857143,21
2014-10-01,JPM,JPMORGAN CHASE & CO,18.063939130434782,23
2014-11-01,JPM,JPMORGAN CHASE & CO,11.133451157894736,19
2014-12-01,JPM,JPMORGAN CHASE & CO,15.802613500000001,22
2003-01-01,LU,LUCENT TECHNOLOGIES INC,60.41533333333333,21
2003-02-01,LU,LUCENT TECHNOLOGIES INC,47.39864736842105,19
2003-03-01,LU,LUCENT TECHNOLOGIES INC,34.86064761904762,21
2003-04-01,LU,LUCENT TECHNOLOGIES INC,36.7338,21
